Symbol,Quantity,EMA1,EM2,PositionType,TimeFrame,CPR_Timeframe,Segment
SBIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ABB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LAURUSLABS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ATUL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BAJFINANCE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BALRAMCHIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BATAINDIA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CHAMBLFERT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
EXIDEIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CIPLA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DABUR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BHEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HINDPETRO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SAIL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TITAN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DRREDDY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HDFCBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HEROMOTOCO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INFY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
JSWSTEEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
KOTAKBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TRENT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LICHSGFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LUPIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
RAMCOCEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MFSL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MRF-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
VEDL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GRASIM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ONGC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
RELIANCE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PIDILITIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SHREECEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATAPOWER-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ACC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TORNTPHARM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
AMBUJACEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HINDALCO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
FEDERALBNK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATASTEEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ASHOKLEY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CUMMINSIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATACOMM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ABBOTINDIA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BHARATFORG-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ESCORTS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
M&M-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BOSCHLTD-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BPCL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SIEMENS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATAMOTORS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
VOLTAS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GNFC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HINDUNILVR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATACHEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NESTLEIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TATACONSUM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ASIANPAINT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BRITANNIA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
COLPAL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDHOTEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ITC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
APOLLOTYRE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BALKRISIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SRF-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
EICHERMOT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
COROMANDEL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DEEPAKNTR-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
WIPRO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
APOLLOHOSP-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BERGEPAINT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CANFINHOME-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SHRIRAMFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CHOLAFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
UPL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ADANIENT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HINDCOPPER-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MOTHERSON-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
HAVELLS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
